order_id,order_date,ship_date,delivery_date,region,warehouse,product_category,unit_price,quantity,order_status,delay_reason,carrier
ORD-529a9bb0,2024-04-16,2024-04-18,2024-04-27,West,WH-D,Electronics,100.7,1,Delivered,Fulfillment Issue,Carrier C
ORD-22083596,2024-07-24,2024-07-24,2024-07-29,West,WH-B,Office,12.44,1,Delivered,,Carrier B
ORD-6911b68c,2024-12-06,2024-12-07,2024-12-12,East,WH-D,Office,51.23,4,Delivered,,Carrier D
ORD-d2374a53,2024-12-29,2024-12-30,,Central,WH-C,Home,73.19,1,Backorder,,Carrier B
ORD-162f5f68,2024-01-06,2024-01-06,,North,WH-C,Office,27.44,1,Backorder,,Carrier B
ORD-c4f918fa,2024-01-22,2024-01-23,2024-01-25,Central,WH-D,Home,81.92,1,Delivered,,Carrier A
ORD-916477eb,2024-02-24,2024-02-26,2024-03-03,East,WH-B,Office,93.27,1,Delivered,,Carrier B
ORD-f2bcc57a,2024-06-06,2024-06-06,2024-06-09,East,WH-C,Home,134.45,1,Delivered,,Carrier C
ORD-41255be4,2024-10-02,2024-10-05,2024-10-13,Central,WH-B,Electronics,40.2,2,Delivered,Inventory Shortage,Carrier D
ORD-171a428b,2024-10-02,2024-10-03,2024-10-10,South,WH-D,Office,92.24,3,Delivered,,Carrier D
ORD-95f141e1,2024-11-14,2024-11-14,,North,WH-C,Apparel,122.19,2,Backorder,,Carrier D
ORD-de9d1f92,2024-12-17,2024-12-18,2024-12-26,East,WH-C,Office,82.41,1,Delivered,,Carrier C
ORD-a70aa005,2024-01-02,2024-01-03,2024-01-06,Central,WH-C,Home,27.07,3,Delivered,,Carrier D
ORD-1158ffd3,2024-01-09,2024-01-09,2024-01-18,East,WH-B,Electronics,219.84,1,Delivered,,Carrier B
ORD-10db9a69,2024-02-03,2024-02-04,2024-02-07,Central,WH-B,Apparel,21.46,1,Delivered,,Carrier B
ORD-3d9b5045,2024-07-24,2024-07-25,2024-07-29,East,WH-C,Electronics,6.39,1,Delivered,,Carrier B
ORD-0e706c56,2024-08-16,2024-08-17,2024-08-21,East,WH-B,Home,144.41,1,Delivered,,Carrier A
ORD-565547df,2024-09-29,2024-10-01,2024-10-02,South,WH-C,Electronics,63.72,3,Delivered,,Carrier A
ORD-7de02bb8,2024-12-11,2024-12-13,2024-12-18,South,WH-D,Electronics,107.45,1,Delivered,,Carrier A
ORD-53f82719,2024-01-08,2024-01-09,2024-01-16,West,WH-D,Office,136.44,1,Delivered,,Carrier C
ORD-17244d08,2024-08-09,2024-08-11,2024-08-19,North,WH-C,Office,63.78,1,Delivered,,Carrier A
ORD-82ffa948,2024-02-23,2024-02-24,,West,WH-D,Electronics,107.09,1,Backorder,,Carrier A
ORD-3a541eb6,2024-03-11,2024-03-14,2024-03-16,Central,WH-C,Electronics,65.39,1,Delivered,,Carrier B
ORD-bda671ab,2024-04-22,2024-04-24,2024-04-29,West,WH-B,Accessories,59.83,4,Delivered,,Carrier D
ORD-3071cced,2024-05-13,2024-05-15,2024-05-21,West,WH-C,Accessories,76.74,1,Delivered,,Carrier D
ORD-cc9d8db1,2024-06-02,2024-06-03,,Central,WH-A,Accessories,119.8,4,Delivered,,Carrier A
ORD-67cdb811,2024-06-05,2024-06-07,2024-06-11,South,WH-B,Home,73.5,3,Shipped,,Carrier A
ORD-dc1fcd4b,2024-07-31,2024-08-04,2024-08-07,South,WH-A,Apparel,111.34,4,Delivered,,Carrier A
ORD-22aea8b0,2024-09-11,2024-09-12,2024-09-18,Central,WH-D,Home,69.94,3,Delivered,,Carrier A
ORD-785ae2df,2024-09-14,2024-09-14,2024-09-21,East,WH-D,Electronics,46.78,4,Delivered,,Carrier B
ORD-84f2b68c,2024-10-04,2024-10-06,2024-10-15,Central,WH-B,Office,100.9,2,Shipped,,Carrier A
ORD-9245f3f7,2024-02-25,2024-02-26,2024-03-02,South,WH-C,Apparel,159.83,2,Delivered,,Carrier A
ORD-76e1abc7,2024-03-12,2024-03-14,2024-03-21,East,WH-C,Office,204.4,1,Delivered,,Carrier A
ORD-f474f5a0,2024-03-22,2024-03-22,2024-03-29,East,WH-D,Home,71.8,1,Delivered,,Carrier D
ORD-9cf86df2,2024-05-01,2024-05-01,2024-05-07,Central,WH-A,Office,77.28,2,Delivered,,Carrier C
ORD-19ead8cd,2024-01-12,2024-01-12,2024-01-13,North,WH-A,Apparel,98.31,1,Delivered,,Carrier A
ORD-dad3c6a9,2024-01-28,2024-01-29,2024-02-02,East,WH-A,Apparel,146.98,2,Shipped,,Carrier D
ORD-f592767e,2024-04-04,2024-04-05,2024-04-09,West,WH-C,Apparel,99.45,1,Delivered,,Carrier D
ORD-20e335d5,2024-06-29,2024-06-30,2024-07-03,West,WH-A,Office,129.92,1,Delivered,,Carrier C
ORD-51a5b6fb,2024-07-16,2024-07-17,2024-07-18,East,WH-A,Apparel,38.52,4,Delivered,,Carrier C
ORD-77fc8397,2024-10-02,2024-10-03,2024-10-12,West,WH-C,Office,78.07,2,Delivered,,Carrier A
ORD-8011758d,2024-10-29,2024-10-30,2024-11-05,East,WH-C,Home,54.02,1,Delivered,,Carrier A
ORD-fb290902,2024-12-28,2024-12-31,2025-01-08,West,WH-A,Accessories,110.88,1,Shipped,,Carrier D
ORD-b88904dc,2024-02-28,2024-02-28,2024-03-04,South,WH-C,Accessories,129.99,1,Delivered,,Carrier D
ORD-a4d52c19,2024-04-14,2024-04-17,2024-04-18,North,WH-B,Home,19.4,1,Delivered,,Carrier B
ORD-afc1c05f,2024-04-19,2024-04-21,2024-04-28,West,WH-D,Electronics,135.49,4,Shipped,,Carrier A
ORD-926daa06,2024-08-06,2024-08-10,2024-08-19,Central,WH-B,Apparel,125.86,1,Shipped,,Carrier C
ORD-986587ac,2024-08-29,2024-08-31,2024-09-05,Central,WH-D,Electronics,26.49,2,Delivered,,Carrier B
ORD-d6b8cea5,2024-09-10,2024-09-11,2024-09-18,North,WH-D,Electronics,89.57,1,Shipped,,Carrier B
ORD-85016a25,2024-09-13,2024-09-16,2024-09-22,East,WH-C,Office,51.13,3,Delivered,,Carrier D
ORD-566dc3f1,2024-11-05,2024-11-06,2024-11-15,South,WH-D,Accessories,87.07,2,Shipped,,Carrier B
ORD-beec2a88,2024-01-13,2024-01-14,2024-01-16,Central,WH-B,Electronics,112.46,1,Delivered,,Carrier C
ORD-857eb877,2024-01-14,2024-01-16,2024-01-18,West,WH-C,Accessories,34.07,1,Delivered,,Carrier C
ORD-88734214,2024-02-26,2024-02-26,,East,WH-C,Accessories,71.4,4,Backorder,,Carrier D
ORD-ee934f86,2024-03-13,2024-03-15,,West,WH-D,Home,91.07,2,Cancelled,,Carrier C
ORD-89d398f7,2024-05-14,2024-05-17,2024-05-26,Central,WH-D,Office,102.58,4,Delivered,Weather,Carrier B
ORD-97bebf47,2024-05-25,2024-05-25,2024-05-27,South,WH-D,Apparel,39.21,1,Shipped,,Carrier D
ORD-7b70670b,2024-08-04,2024-08-04,2024-08-09,West,WH-D,Office,15.78,3,Delivered,,Carrier B
ORD-aed9e764,2024-09-02,2024-09-05,2024-09-14,North,WH-B,Accessories,62.44,1,Delivered,Weather,Carrier A
ORD-1d09e8db,2024-02-16,2024-02-17,2024-02-18,West,WH-A,Accessories,77.03,4,Cancelled,,Carrier D
ORD-e6d08506,2024-02-25,2024-02-26,2024-03-05,South,WH-D,Apparel,70.31,1,Delivered,,Carrier A
ORD-55d8dd94,2024-03-21,2024-03-24,2024-03-31,East,WH-C,Accessories,99.99,1,Delivered,,Carrier D
ORD-31b0dac1,2024-03-28,2024-03-29,2024-04-01,East,WH-D,Home,98.88,1,Delivered,,Carrier D
ORD-78523cb3,2024-08-30,2024-09-01,2024-09-02,North,WH-A,Apparel,122.92,1,Cancelled,,Carrier C
ORD-f9e7683d,2024-01-04,2024-01-07,2024-01-12,North,WH-D,Electronics,174.55,1,Shipped,,Carrier A
ORD-f4e2defe,2024-01-22,2024-01-23,2024-01-31,East,WH-A,Electronics,101.53,2,Delivered,,Carrier C
ORD-25cf400b,2024-03-27,2024-03-28,,East,WH-C,Home,87.37,4,Backorder,,Carrier D
ORD-d6f82504,2024-07-07,2024-07-08,2024-07-14,Central,WH-D,Accessories,52.76,1,Delivered,,Carrier B
ORD-e26830fa,2024-08-24,2024-08-26,2024-09-01,North,WH-D,Accessories,43.93,3,Delivered,,Carrier B
ORD-79b64c17,2024-10-08,2024-10-08,2024-10-13,Central,WH-B,Apparel,112.36,1,Delivered,,Carrier D
ORD-3d97f9da,2024-10-25,2024-10-25,,West,WH-C,Electronics,101.86,2,Delivered,,Carrier D
ORD-88cc8265,2024-10-31,2024-11-01,2024-11-08,Central,WH-B,Electronics,69.14,1,Shipped,,Carrier D
ORD-6fdc109f,2024-03-16,2024-03-17,2024-03-24,Central,WH-C,Office,86.22,2,Shipped,,Carrier C
ORD-103d2d7b,2024-08-02,2024-08-04,2024-08-05,East,WH-B,Office,61.01,1,Delivered,,Carrier D
ORD-f5a3b888,2024-10-01,2024-10-06,2024-10-12,West,WH-C,Accessories,121.32,3,Delivered,Weather,Carrier C
ORD-cfedff7a,2024-10-26,2024-10-28,2024-11-04,West,WH-C,Electronics,104.78,3,Delivered,,Carrier A
ORD-89dc5c24,2024-11-21,2024-11-23,2024-11-24,West,WH-C,Apparel,96.43,4,Shipped,,Carrier C
ORD-4a1939ab,2024-02-07,2024-02-07,2024-02-10,South,WH-C,Apparel,48.81,2,Delivered,,Carrier A
ORD-efdcf6da,2024-06-23,2024-06-23,2024-06-30,North,WH-C,Office,68.48,4,Shipped,,Carrier A
ORD-b9185b1d,2024-11-01,2024-11-02,2024-11-10,South,WH-A,Home,3.68,4,Delivered,,Carrier C
ORD-553dff34,2024-01-31,2024-02-03,2024-02-05,South,WH-B,Apparel,136.51,3,Delivered,,Carrier C
ORD-7759d9eb,2024-04-02,2024-04-05,2024-04-06,East,WH-B,Home,75.93,1,Delivered,,Carrier D
ORD-86263dbb,2024-04-07,2024-04-08,2024-04-09,East,WH-C,Electronics,108.98,1,Shipped,,Carrier D
ORD-0cf7ad53,2024-04-18,2024-04-19,2024-04-20,South,WH-B,Office,96.75,1,Shipped,,Carrier C
ORD-84c51029,2024-09-02,2024-09-05,2024-09-14,West,WH-A,Home,114.56,1,Delivered,Carrier Delay,Carrier D
ORD-db32b9d8,2024-10-28,2024-11-01,2024-11-04,East,WH-D,Home,121.77,1,Delivered,,Carrier A
ORD-80216b9e,2024-10-29,2024-11-01,2024-11-10,West,WH-A,Accessories,204.88,1,Delivered,Weather,Carrier B
ORD-d2817437,2024-11-04,2024-11-05,2024-11-13,West,WH-C,Office,113.94,2,Delivered,,Carrier A
ORD-241fb97b,2024-01-09,2024-01-12,2024-01-18,North,WH-C,Office,9.88,3,Delivered,,Carrier A
ORD-e058f6dd,2024-01-10,2024-01-11,2024-01-14,Central,WH-B,Office,108.18,4,Delivered,,Carrier D
ORD-f2a3243c,2024-01-20,2024-01-21,2024-01-23,Central,WH-D,Accessories,139.59,1,Delivered,,Carrier B
ORD-675687f2,2024-03-08,2024-03-10,2024-03-18,North,WH-D,Accessories,135.86,3,Cancelled,,Carrier D
ORD-294803ec,2024-05-18,2024-05-20,2024-05-23,East,WH-A,Home,96.59,2,Shipped,,Carrier B
ORD-8c188520,2024-07-20,2024-07-21,2024-07-30,South,WH-C,Electronics,36.03,1,Delivered,,Carrier C
ORD-1038de19,2024-08-04,2024-08-07,2024-08-13,East,WH-A,Office,65.93,1,Delivered,,Carrier C
ORD-9ff3f2fd,2024-10-18,2024-10-18,2024-10-20,North,WH-D,Electronics,80.62,1,Delivered,,Carrier B
ORD-47c764fa,2024-11-03,2024-11-04,2024-11-07,Central,WH-A,Electronics,116.09,1,Delivered,,Carrier C
ORD-6871ccc8,2024-11-27,2024-11-30,2024-12-03,South,WH-B,Electronics,23.12,3,Delivered,,Carrier B
ORD-b98c2630,2024-02-18,2024-02-20,2024-02-24,South,WH-C,Apparel,124.2,1,Delivered,,Carrier A
ORD-35f78132,2024-04-21,2024-04-25,2024-04-29,South,WH-B,Accessories,54.34,1,Delivered,,Carrier C
ORD-d6e3a4e8,2024-08-13,2024-08-14,,North,WH-A,Apparel,98.2,3,Backorder,,Carrier A
ORD-9d66e438,2024-10-16,2024-10-19,2024-10-27,South,WH-C,Electronics,93.4,1,Delivered,Inventory Shortage,Carrier C
ORD-3c58ed22,2024-12-05,2024-12-12,2024-12-15,West,WH-A,Electronics,92.65,1,Delivered,,Carrier D
ORD-2df9a588,2024-12-11,2024-12-12,2024-12-13,East,WH-A,Office,72.37,2,Delivered,,Carrier B
ORD-d4222a7c,2024-01-09,2024-01-10,,North,WH-C,Office,78.52,1,Shipped,,Carrier A
ORD-7449ee99,2024-01-27,2024-01-28,2024-02-04,West,WH-D,Office,122.86,3,Delivered,,Carrier A
ORD-23275c69,2024-02-13,2024-02-17,2024-02-19,West,WH-A,Electronics,160.8,1,Delivered,,Carrier C
ORD-14617c8f,2024-09-17,2024-09-20,2024-09-22,North,WH-B,Home,21.17,1,Delivered,,Carrier C
ORD-ad2a8ef2,2024-10-17,2024-10-18,2024-10-24,Central,WH-C,Office,85.65,2,Delivered,,Carrier D
